price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price_kbb,mpg,rating,year_kbb
15999.0,2017.0,dodge,journey,good,6 cylinders,gas,75680.0,clean,automatic,4wd,mid-size,SUV,red,25170.0,21.0,2.9 / 5,2020.0
2800.0,2005.0,volkswagen,golf,good,4 cylinders,gas,197000.0,clean,manual,fwd,compact,hatchback,grey,24115.0,31.0,4.1 / 5,2020.0
2500.0,2017.0,ford,edge,like new,4 cylinders,gas,69110.0,clean,automatic,rwd,mid-size,SUV,white,32345.0,24.0,3.8 / 5,2020.0
10000.0,2015.0,honda,fit,like new,4 cylinders,gas,10700.0,clean,automatic,fwd,compact,hatchback,silver,17145.0,31.0,4.6 / 5,2020.0
25495.0,2019.0,nissan,pathfinder,excellent,6 cylinders,gas,39524.0,clean,automatic,4wd,full-size,SUV,grey,33075.0,23.0,4.1 / 5,2020.0
9900.0,2016.0,buick,encore,excellent,4 cylinders,gas,44000.0,salvage,automatic,4wd,mid-size,SUV,red,24195.0,27.0,3.9 / 5,2021.0
6495.0,2013.0,hyundai,veloster,excellent,4 cylinders,gas,110004.0,clean,manual,fwd,mid-size,hatchback,blue,19775.0,28.0,4.4 / 5,2020.0
7700.0,2010.0,nissan,maxima,excellent,6 cylinders,gas,134000.0,clean,automatic,fwd,full-size,sedan,silver,35375.0,24.0,3.9 / 5,2020.0
4900.0,2008.0,chevrolet,impala,excellent,6 cylinders,gas,165000.0,clean,automatic,fwd,full-size,sedan,grey,32495.0,22.0,4.5 / 5,2020.0
2500.0,2005.0,honda,civic,excellent,4 cylinders,gas,158000.0,clean,automatic,fwd,mid-size,coupe,red,22005.0,33.0,4.6 / 5,2021.0
9500.0,2014.0,nissan,murano,good,6 cylinders,gas,145750.0,clean,automatic,4wd,full-size,SUV,blue,32825.0,23.0,4.1 / 5,2020.0
11500.0,2013.0,hyundai,elantra,like new,4 cylinders,gas,55000.0,clean,automatic,fwd,mid-size,sedan,grey,20645.0,37.0,4.8 / 5,2021.0
15995.0,2014.0,cadillac,ats,excellent,4 cylinders,gas,89000.0,clean,automatic,4wd,compact,sedan,grey,39990.0,25.0,4.0 / 5,2019.0
900.0,2006.0,chevrolet,impala,fair,6 cylinders,gas,189600.0,clean,automatic,fwd,full-size,sedan,red,32495.0,22.0,4.5 / 5,2020.0
11000.0,2010.0,subaru,forester,excellent,4 cylinders,gas,28418.0,salvage,manual,fwd,compact,wagon,silver,25845.0,29.0,4.5 / 5,2021.0
6950.0,2014.0,volkswagen,jetta,like new,4 cylinders,gas,70000.0,rebuilt,automatic,fwd,mid-size,sedan,black,19815.0,34.0,4.4 / 5,2020.0
3995.0,2004.0,audi,a4,good,4 cylinders,gas,135941.0,clean,automatic,4wd,compact,sedan,red,38395.0,30.0,4.7 / 5,2020.0
8350.0,2008.0,chevrolet,suburban,excellent,8 cylinders,gas,227500.0,clean,automatic,4wd,full-size,SUV,black,52995.0,18.0,4.6 / 5,2021.0
4999.0,2014.0,volkswagen,jetta,excellent,4 cylinders,gas,92000.0,rebuilt,automatic,fwd,compact,sedan,white,19815.0,34.0,4.4 / 5,2020.0
5499.0,2014.0,volkswagen,jetta sportwagen,excellent,5 cylinders,gas,91000.0,rebuilt,automatic,fwd,mid-size,wagon,silver,31565.0,22.0,4.5 / 5,2020.0
6800.0,2016.0,chevrolet,cruze,like new,4 cylinders,gas,19000.0,clean,automatic,fwd,mid-size,sedan,blue,18870.0,33.0,4.2 / 5,2019.0
12500.0,2015.0,kia,sorento,good,4 cylinders,gas,97185.0,clean,automatic,rwd,full-size,SUV,silver,30560.0,26.0,4.7 / 5,2021.0
17950.0,2017.0,chevrolet,traverse,good,6 cylinders,gas,47769.0,clean,automatic,fwd,mid-size,SUV,blue,30995.0,21.0,4.3 / 5,2021.0
8300.0,2017.0,nissan,versa,like new,4 cylinders,gas,55000.0,clean,automatic,fwd,full-size,sedan,brown,15755.0,30.0,4.2 / 5,2020.0
4900.0,2009.0,honda,cr-v,good,4 cylinders,gas,153000.0,clean,automatic,fwd,mid-size,SUV,custom,26470.0,30.0,4.7 / 5,2021.0
13700.0,2018.0,dodge,journey,like new,6 cylinders,gas,33000.0,salvage,automatic,fwd,full-size,SUV,silver,25170.0,21.0,2.9 / 5,2020.0
8450.0,2016.0,nissan,versa,excellent,4 cylinders,gas,46069.0,clean,automatic,fwd,sub-compact,sedan,black,15755.0,30.0,4.2 / 5,2020.0
6950.0,2012.0,ford,fusion,good,4 cylinders,gas,101301.0,clean,automatic,fwd,mid-size,sedan,green,24365.0,24.0,4.1 / 5,2020.0
8950.0,2016.0,ford,fiesta,good,4 cylinders,gas,42810.0,clean,automatic,fwd,sub-compact,hatchback,silver,15235.0,30.0,4.2 / 5,2019.0
3750.0,2004.0,hyundai,santa fe,good,6 cylinders,gas,149877.0,clean,automatic,fwd,compact,SUV,blue,28025.0,26.0,4.7 / 5,2021.0
4200.0,2001.0,chevrolet,tahoe,good,8 cylinders,gas,178845.0,clean,automatic,4wd,full-size,SUV,white,50295.0,18.0,4.7 / 5,2021.0
5995.0,2011.0,ford,escape,excellent,6 cylinders,gas,158003.0,clean,automatic,4wd,mid-size,SUV,black,26080.0,30.0,4.3 / 5,2020.0
24500.0,2017.0,nissan,pathfinder,excellent,6 cylinders,gas,32000.0,clean,other,fwd,full-size,SUV,grey,33075.0,23.0,4.1 / 5,2020.0
6250.0,2005.0,chevrolet,suburban,excellent,8 cylinders,gas,253000.0,clean,automatic,4wd,full-size,SUV,black,52995.0,18.0,4.6 / 5,2021.0
3750.0,2008.0,hyundai,tucson,excellent,4 cylinders,gas,133000.0,clean,manual,fwd,mid-size,SUV,silver,24840.0,25.0,4.2 / 5,2021.0
15987.0,2017.0,volkswagen,passat,excellent,4 cylinders,gas,40000.0,clean,automatic,fwd,mid-size,sedan,silver,23915.0,27.0,4.1 / 5,2020.0
7995.0,2012.0,ford,escape,excellent,4 cylinders,gas,86000.0,clean,automatic,4wd,mid-size,SUV,silver,26080.0,30.0,4.3 / 5,2020.0
2500.0,2006.0,ford,taurus,good,4 cylinders,gas,221000.0,clean,automatic,fwd,mid-size,sedan,blue,28895.0,21.0,3.1 / 5,2019.0
6999.0,1979.0,volkswagen,beetle,excellent,4 cylinders,gas,78000.0,clean,manual,rwd,compact,convertible,yellow,23940.0,29.0,3.6 / 5,2019.0
19588.0,2017.0,hyundai,tucson,good,4 cylinders,gas,2180.0,clean,automatic,fwd,full-size,SUV,grey,24840.0,25.0,4.2 / 5,2021.0
6995.0,2011.0,mazda,mazda3,excellent,4 cylinders,gas,102825.0,clean,manual,fwd,compact,sedan,black,21445.0,31.0,4.4 / 5,2021.0
8200.0,1982.0,bmw,3 series,good,4 cylinders,gas,182277.0,clean,other,rwd,compact,sedan,blue,41745.0,30.0,4.6 / 5,2020.0
10500.0,2013.0,audi,a4,excellent,4 cylinders,gas,144000.0,clean,automatic,4wd,mid-size,sedan,blue,38395.0,30.0,4.7 / 5,2020.0
26000.0,2018.0,chrysler,pacifica,excellent,6 cylinders,gas,44397.0,clean,automatic,fwd,full-size,mini-van,red,34990.0,22.0,4.5 / 5,2020.0
10500.0,2014.0,subaru,forester,good,4 cylinders,gas,127649.0,clean,automatic,4wd,full-size,SUV,silver,25845.0,29.0,4.5 / 5,2021.0
10995.0,2012.0,ford,edge,good,6 cylinders,gas,92723.0,clean,automatic,fwd,full-size,SUV,silver,32345.0,24.0,3.8 / 5,2020.0
12995.0,2011.0,ford,explorer,good,6 cylinders,gas,95690.0,clean,automatic,4wd,full-size,SUV,grey,33470.0,24.0,4.1 / 5,2021.0
8995.0,2011.0,acura,rdx,good,8 cylinders,gas,162050.0,clean,automatic,4wd,full-size,SUV,black,39225.0,24.0,4.5 / 5,2021.0
12000.0,1995.0,ford,mustang,excellent,8 cylinders,gas,125000.0,rebuilt,manual,rwd,mid-size,coupe,grey,27765.0,24.0,4.6 / 5,2020.0
8900.0,2013.0,ford,fusion,excellent,4 cylinders,gas,63000.0,clean,automatic,fwd,full-size,sedan,grey,24365.0,24.0,4.1 / 5,2020.0
9997.0,2014.0,chevrolet,cruze,excellent,4 cylinders,gas,54982.0,clean,automatic,fwd,mid-size,sedan,red,18870.0,33.0,4.2 / 5,2019.0
3500.0,2008.0,nissan,sentra,good,4 cylinders,gas,192107.0,clean,automatic,fwd,compact,sedan,grey,20235.0,33.0,4.6 / 5,2020.0
3995.0,2005.0,buick,lacrosse,excellent,6 cylinders,gas,138018.0,clean,automatic,rwd,full-size,sedan,silver,30495.0,29.0,3.9 / 5,2019.0
3500.0,2001.0,honda,civic,good,4 cylinders,gas,125805.0,clean,automatic,fwd,compact,coupe,red,22005.0,33.0,4.6 / 5,2021.0
