price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price_kbb,mpg,rating,year_kbb,year_difference,new_price,depreciation,depreciation per year
16990.0,2015,lincoln,mkc,good,4,gas,79307.0,clean,automatic,4wd,full-size,SUV,custom,34990.0,Low mpg (20 - 30),4.0,2019,4,32325.351,0.47440632585861164,0.14854336831657555
5100.0,2014,nissan,versa note,excellent,4,gas,42303.0,rebuilt,automatic,fwd,compact,hatchback,white,16575.0,Medium mpg (30 - 40),4.3,2019,5,15012.488,0.6602828258713679,0.19420698097247835
7995.0,2006,honda,pilot,good,6,gas,153741.0,clean,automatic,4wd,full-size,SUV,blue,33370.0,Low mpg (20 - 30),4.6,2021,15,24794.402,0.6775481820452858,0.07267709157167934
7795.0,2008,ford,edge,good,6,gas,140123.0,clean,automatic,4wd,full-size,SUV,orange,32345.0,Low mpg (20 - 30),3.8,2020,12,25503.812,0.6943594157610635,0.0940569065950756
9695.0,2010,ford,edge,good,6,gas,142786.0,clean,automatic,4wd,full-size,SUV,silver,32345.0,Low mpg (20 - 30),3.8,2020,10,26534.166,0.6346220190225689,0.09577973264420858
17695.0,2019,ford,escape,good,4,gas,58893.0,clean,automatic,4wd,full-size,SUV,orange,26080.0,Low mpg (20 - 30),4.3,2020,1,25568.627,0.3079409387136822,0.3079409387136822
12495.0,2013,ford,edge,good,6,gas,97846.0,clean,automatic,4wd,full-size,SUV,red,32345.0,Low mpg (20 - 30),3.8,2020,7,28158.269,0.5562582344816722,0.10958996918013986
15999.0,2017,dodge,journey,good,6,gas,75680.0,clean,automatic,4wd,mid-size,SUV,red,25170.0,Low mpg (20 - 30),2.9,2020,3,23718.253,0.32545622141731945,0.12299235263576791
2800.0,2005,volkswagen,golf,good,4,gas,197000.0,clean,manual,fwd,compact,hatchback,grey,24115.0,Medium mpg (30 - 40),4.1,2020,15,17917.8,0.8437308151670406,0.11639488119784658
10000.0,2015,honda,fit,like new,4,gas,10700.0,clean,automatic,fwd,compact,hatchback,silver,17145.0,Medium mpg (30 - 40),4.6,2020,5,15528.755,0.3560333716386149,0.08425897191026477
